SKU,Product Name,Price,Base price,Ean,SPF,Material,Supplier,Weight (g),Item number,Ecom Perfect Name,AI Description,Bullet Feature 0,Bullet Feature 1,Unique Product Identifier,Is Discounted,Discount,Sales Status,Product Status,Skin type,Properties
SKN-1001,Gentle Foaming Cleanser 150 ml,18.90,12,7350001234501,0,Amino Acid Surfactants,Nordic Glow Labs,180,ITM-1001,Gentle Foaming Facial Cleanser,A mild daily foaming cleanser that lifts away impurities without stripping the skin barrier.,"pH-balanced, soap-free formula","Rinses clean, no residue",UPI-SKN-1001,false,0,In Stock,New,Dry; Sensitive; Normal,Cleansing; Gentle; Hydrating
SKN-1002,Balancing Hydration Toner 200 ml,21.50,14,7350001234518,0,Niacinamide,Nordic Glow Labs,230,ITM-1002,Balancing Hydration Toner,An alcohol-free toner that rebalances and preps skin for the next step.,"Alcohol-free, non-drying",5% niacinamide,UPI-SKN-1002,false,0,In Stock,New,Combination; Oily,Balancing; Hydrating; Oil control
SKN-1003,Vitamin C Brightening Serum 30 ml,34.00,22,7350001234525,0,15% L-Ascorbic Acid,Lumen Skincare,60,ITM-1003,Vitamin C Brightening Serum,A potent antioxidant serum that visibly brightens and evens tone.,15% stable vitamin C,Fades dark spots over time,UPI-SKN-1003,true,15,In Stock,Quality Check,Dull; Uneven; Normal,Brightening; Antioxidant; Firming
SKN-1004,Hyaluronic Deep Hydration Essence 120 ml,27.90,18,7350001234532,0,Sodium Hyaluronate,Lumen Skincare,150,ITM-1004,Hyaluronic Deep Hydration Essence,A weightless essence that floods skin with multi-weight hyaluronic acid.,Triple-weight hyaluronic acid,Plumps fine lines,UPI-SKN-1004,false,0,In Stock,New,Dehydrated; Dry; All,Deep hydration; Plumping; Lightweight
SKN-1005,Niacinamide Pore Refining Serum 30 ml,23.00,15,7350001234549,0,10% Niacinamide + Zinc,Lumen Skincare,60,ITM-1005,Niacinamide Pore Refining Serum,Targets enlarged pores and excess shine for a smoother matte finish.,10% niacinamide + 1% zinc,Minimises shine,UPI-SKN-1005,false,0,In Stock,Text Enrich,Oily; Combination; Acne prone,Oil control; Mattifying; Clarifying
SKN-1006,Calming Cica Repair Cream 50 ml,29.50,19,7350001234556,0,Centella Asiatica,Verde Botanica,95,ITM-1006,Calming Cica Repair Cream,A soothing barrier cream with centella to calm redness and irritation.,Fragrance-free,Strengthens the skin barrier,UPI-SKN-1006,true,20,In Stock,New,Sensitive; Redness; Dry,Calming; Barrier strengthening; Moisturizing
SKN-1007,Daily Mineral Sunscreen SPF 30 50 ml,25.90,17,7350001234563,30,Zinc Oxide,Solaire,80,ITM-1007,Daily Mineral Sunscreen SPF 30,A lightweight mineral SPF that sits invisibly under makeup.,Non-greasy mineral filter,No white cast,UPI-SKN-1007,false,0,In Stock,New,All; Sensitive; Combination,Mineral-based; Lightweight; Non-sticky
SKN-1008,Sheer Invisible Sunscreen SPF 50 40 ml,31.00,20,7350001234570,50,Zinc Oxide + Titanium Dioxide,Solaire,70,ITM-1008,Sheer Invisible Sunscreen SPF 50,High-protection daily fluid with a true sheer finish.,Broad-spectrum SPF 50,"Weightless, fast-absorbing",UPI-SKN-1008,false,0,Out of Stock,Asset Review,All; Oily; Combination,Mineral-based; Oil-control; Non-sticky
SKN-1009,Overnight Retinol Renewal Cream 50 ml,42.00,27,7350001234587,0,0.3% Encapsulated Retinol,Lumen Skincare,100,ITM-1009,Overnight Retinol Renewal Cream,A gentle encapsulated retinol cream that smooths and renews while you sleep.,0.3% encapsulated retinol,Buffered for sensitivity,UPI-SKN-1009,true,10,In Stock,Global Approved,Aging; Normal; Dry,Anti-aging; Firming; Hydrating
SKN-1010,Gentle Exfoliating PHA Pads 60 ct,19.90,13,7350001234594,0,Gluconolactone (PHA),Verde Botanica,140,ITM-1010,Gentle Exfoliating PHA Pads,Pre-soaked PHA pads that gently resurface without irritation.,Gentle PHA exfoliation,60 single-use pads,UPI-SKN-1010,false,0,In Stock,New,Sensitive; Dull; Combination,Exfoliating; Gentle; Clarifying
SKN-1011,Rich Ceramide Night Moisturiser 50 ml,33.50,21,7350001234600,0,Ceramide Complex,Nordic Glow Labs,110,ITM-1011,Rich Ceramide Night Moisturiser,A nourishing night cream that restores ceramides for a stronger barrier.,"Ceramide NP, AP, EOP",Deeply replenishing,UPI-SKN-1011,false,0,In Stock,Value Enrich,Dry; Dehydrated; Aging,Moisturizing; Barrier strengthening; Deep hydration
SKN-1012,Discontinued Clay Detox Mask 75 ml,16.00,10,7350001234617,0,Kaolin Clay,Verde Botanica,160,ITM-1012,Clay Detox Mask,A purifying weekly clay mask that draws out impurities and excess oil.,Kaolin + charcoal,Deep-cleaning weekly treatment,UPI-SKN-1012,true,25,Discontinued,Quality Check,Oily; Combination; Acne prone,Deep cleaning; Oil control; Clarifying
